TDE,Observation Information,Observation Information,Observation Information,Observation Information,Counts,Counts,Counts,Counts,Poisson Analysis,Poisson Analysis,Poisson Analysis,Count Rate,Count Rate,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Modeling,Counts in different energy bands,Counts in different energy bands,Counts in different energy bands,Counts in different energy bands,Counts in different energy bands,Counts in different energy bands,
Name of TDE events,Observation Identification (ObsID),ObsID label,MJD,Exposure TIme in seconds,SOURCE counts in the full energy band of instrument ,Uncertainty in the source counts.,Background counts in the full energy band of instrument,Uncertainty in background counts,"Probability of chance fluctuation. Here: 1 = detection, 0 = nope.","Detection confidence. Here: 1 = Very confident > 5 sigma, 0 = Highly unlikely.",Classifying detection as either Upperlimit (U) or Data point (D) based on Poission analysis ,Source count rate in respective energy band of the instrument. This is the source counts divided by the exposure time.,Uncertainty in count rate,Column Density (x10^22 cm^-2),Lower Uncertainty in Column Density,Upper Uncertainty in Column Density,"Powerlaw index, Gamma",Lower Uncertainty in Powerlaw index,Upper Uncertainty in Powerlaw index,Reduced chi^2 (degree of freedom),Absorbed X-ray Flux in the 0.3-2.0 keV energy band.,Lower Uncertainty in the Absorbed X-ray Flux ,Upper Uncertainty in Absorbed X-ray Flux ,X-ray Luminoisty in the 0.3-2.0 keV energy band derived from fluxes.,Lower Uncertainty in the X-ray Luminosity,Upper Uncertainty in the X-ray Luminosity,Soft Counts (0.3-1.0 keV) from source,Uncertainty in the soft counts,Medium Counts (1.0-2.0 keV) from source,Uncertainty in the medium counts,Hard Counts (2.0-10.0 keV) from source,Uncertainty in the hard counts,Instrument
,,,,,NOT corrected for encircled energy fraction,,NOT corrected for encircled energy fraction,,,,,This HAS been corrected for encircled energy fraction,This HAS been corrected for encircled energy fraction,,"If no uncertainties or comments listed in this column, N_H has been frozen to Galactic Column Density along the line of sight of the TDE.","If no uncertainties or comments listed in this column, N_H has been frozen to Galactic Column Density along the line of sight of the TDE.",,,,,,"If there is a zero in the uncertainty column, this indicates that this flux value is a 3sigma upperlimit.","If there is a zero in the uncertainty column, this indicates that this flux value is a 3sigma upperlimit.",,"If there is a zero in the uncertainty column, this indicates that this luminosity value is a 3sigma upperlimit.","If there is a zero in the uncertainty column, this indicates that this luminosity value is a 3sigma upperlimit.",,"This HAS been corrected for encircled energy fraction. If there is a zero in the uncertainty column, this indicates that this count rate is a 3sigma upperlimit",,"This HAS been corrected for encircled energy fraction. If there is a zero in the uncertainty column, this indicates that this count rate is a 3sigma upperlimit",,"This HAS been corrected for encircled energy fraction. If there is a zero in the uncertainty column, this indicates that this count rate is a 3sigma upperlimit",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASX J0203,rs931806n00,r1,48258.1,399.7,0,1.108,3.401,0.476,1,0,U,0.0262948,0,0.02,,,4.5,,,,7.55E-14,0,0,6.87E+41,0,0,4.30634,0,2.96132,0,0.843531,0,rosat
2MASX J0249,rs931808n00,r2,48100.2,237,0,1.465,2.22,0.383,1,0,U,0.0332087,0,0.44,-0.14,0.15,7.7,,,,3.57E-13,0,0,3.25E+42,0,0,4.50677,0,0.992389,0,1,0,rosat
3XMM J152130.7+074916,rp800128n00 +rp800376n00,r3,48800,14058,129.318,20.981,290.68,4.4,1,0,U,0.0286,0,0.026,,,4.5,,,,6.62E-14,0,0,6.29E+42,0,0,178.384,0,85.8554,0,7.81806,0,rosat
3XMM J152130.7+074916,rs931641n00,r4,48100,408,7.733,4.197,9.27,0.79,0.816719,0.183281,U,0.0531,0,0.026,,,4.5,,,,1.23E-13,0,0,1.17E+43,0,0,10.9319,0,4.90102,0,1.54164,0,rosat
ASASSN-14ae,rs931126n00,r5,48200,322.6,0.733,2.054,3.27,0.47,1,0,U,0.0317,0,0.0171,,,4.5,,,,4.50E-14,0,0,1.99E+41,0,0,4.30634,0,2.13784,0,1,0,rosat
ASASSN-14li,rs931434n00,r6,48100,324,2.267,3.074,6.73,0.67,0.990766,0.00923374,U,0.0527,0,0.0163,,,4.5,,,,7.11E-14,0,0,6.70E+40,0,0,6.51808,0,3.43975,0,1,0,rosat
ASASSN-15lh,rs932821n00,r7,48200,396.2,0.801,2.298,4.2,0.53,1,0,U,0.0307,0,0.0325,,,4.5,,,,5.29E-13,0,0,9.27E+43,0,0,5.82492,0,2.05337,0,1,0,rosat
ASASSN-15oi,rs932250n00,r8,48200,324,0,2.088,5.4,0.6,1,0,U,0.0449,0,0.0561,,,4.5,,,,2.95E-13,0,0,2.62E+41,0,0,10.6505,0,1.8137,0,1,0,rosat
