"		TDE	","	  Host 	","Host	","	 Host	"," TDE	"," TDE	","	 									",
"	Name 	","	  Name 	","R.A. (J2000)	","	 Decl. (J2000) 	","	R.A. (J2000)	"," Decl. (J2000) 	","	 Redshift ",Discovery papers or papers that referred to this emission as a TDE
,,,,,,,
2MASX J0203,2MASX J02030314-0741514,"	02:03:03.14","-07:41:51.41	","	","	","0.0615	",2007A&A...462L..49E
2MASX J0249,2MASX J02491731-0412521,"	02:49:17.32","-04:12:52.20	","	","	","0.0186	",2007A&A...462L..49E
3XMM,3XMM J152130.7+074916,"	15:21:30.73","+07:49:16.52	","	15:21:30.75"," +07:49:16.70	","0.17901	",2015ApJ...811...43L
ASASSN-14ae,SDSS J110840.11+340552.2,"	11:08:40.12","+34:05:52.23	","	11:08:39.96","+34:05:52.70	","0.0436	",2014MNRAS.445.3263H
ASASSN-14li,SDSS J124815.23+174626.4,"	12:48:15.23","+17:46:26.44	","	12:48:15.23"," +17:46:26.22	","0.0206	","2015Natur.526..542M, 2016MNRAS.455.2918H,2016ApJ...818L..32C,2016ApJ...819L..25A, 2016Sci...351...62V"
ASASSN-15oi,2MASX J20390918-3045201,"	20:39:09.18","-30:45:20.10	","	20:39:09.10"," -30:45:20.71	","0.02	",2016arXiv160201088H
"ASASSN-15lh	","	APMUKS (BJ) B215839.70-615403.9	","	22:02:15.39	","	-61:39:34.60	","	22:02:15.45"," -61:39:34.64	","	0.2326 ",2016Sci...351..257D
D1-9,GALEX J022517.0-043258,"	02:25:17.00","-04:32:59.00	","	","	","0.326	",2008ApJ...676..944G
D23H-1,SDSS J233159.53+001714.5,"	23:31:59.54","+00:17:14.58	","	","	","0.1855	",2009ApJ...698.1367G
D3-13,GALEX J141929.8+525206,"	14:19:29.81","+52:52:06.37	","	","	","0.3698	",2008ApJ...676..944G
DES14C1kia,"Uncatalogued, 03:34:47.49 -26:19:35.0","	03:34:47.49","-26:19:35.00	","	","	","0.162	",2015ATel.6877....1F
Dougie,SDSS J120847.77+430120.1,"	12:08:47.78","+43:01:20.27	","	12:08:47.87","+43:01:20.01	","0.191	",2015ApJ...798...12V
"GRB060218, SN2006aj",SDSS J032139.69+165201.7,"	03:21:39.69","+16:52:01.74	","	","	","0.0335	","2006Natur.442.1008C, 2006Natur.442.1014S, 2006Natur.442.1018M,2013ApJ...769...85S"
HLX-1,ESO 243-49,"	01:10:27.75","-46:04:27.41	","	","	","0.0223	",2011ApJ...735...89L
IC 3599,IC 3599,"	12:37:41.18","+26:42:27.24	", ,"		","0.021245	","1995MNRAS.273L..47B,1995A&A...299L...5G,2015A&A...581A..17C"
IGR J12580,NGC 4845,"	12:58:01.24","+01:34:32.09	","	12:58:05.09","+01:34:25.70	","0.00411	","2013A&A...552A..75N,2015ApJ...809..172I"
IGR J17361-4441,NGC 6388,"	17:36:17.46","-44:44:08.34	","	17:36:17.42","-44:44:05.98	"," 0.04	",2014MNRAS.444...93D
LEDA 095953,LEDA 095953,"	13:47:30.10","-32:54:52.00	","	13:47:30.33","-32:54:50.63 	","0.0366	",2009A&A...495L...9C
NGC 1097,NGC 1097,"	02:46:19.06","-30:16:29.68	", ,"		","0.0042	",1995ApJ...443..617S
NGC 2110,NGC 2110,"	05:52:11.41","-07:27:22.23	", ,"		","0.007579	",2007ApJ...668L..31M
NGC 247,NGC 247,"	00:47:08.55","-20:45:37.44	", ,"		","0.000531	",2015ApJ...807..185F
NGC 3599,NGC 3599,"	11:15:26.95","+18:06:37.33	", ,"		","0.002699	","2007A&A...462L..49E, 2008A&A...489..543E"
NGC 5905,NGC 5905,"	15:15:23.32","+55:31:01.59	", ,"		","0.01124	","1996A&A...309L..35B, 2004ApJ...604..572H, 2002ApJ...576..753L"
NGC 6021,NGC 6021,"	15:57:30.68","+15:57:22.37	","	15:57:30.72","+15:57:21.60	","0.015607	",2016A&A...586A...9H
PGC 015259,2MFGC 3645,"	04:29:21.82","-04:45:35.60	","	04:29:21.84","-04:45:36.00	","0.014665	",2016A&A...586A...9H
PGC 1127938,2SLAQ J011844.35-010906.8,"	01:18:44.36","-01:09:06.87	","	01:18:56.64","-01:03:10.80	","0.02	",2016A&A...586A...9H
PGC 1185375,2MASX J15035028+0107366,"	15:03:50.29","+01:07:36.70	","	15:03:50.40","+01:07:37.20	","0.00523	",2016A&A...586A...9H
PGC 1190358,N5846-162,"	15:05:28.75","+01:17:33.17	","	15:05:28.56","+01:17:31.20	","0.00766	",2016A&A...586A...9H
PGC 133344,6dFGS gJ214256.0-300758,"	21:42:55.98","-30:07:57.91	","	21:42:55.92","-30:07:58.80	","0.02365	",2016A&A...586A...9H
PGC 170392,6dFGS gJ222646.4-150123,"	22:26:46.35","-15:01:23.04	","	22:26:46.32","-15:01:22.80	","0.016246	",2016A&A...586A...9H
Pictor A,Pictor A,"	05:19:49.72","-45:46:43.85	", ,"		","0.034	",1995ApJ...438L...1S
PS1-10jh,SDSS J160928.27+534023.9,"	16:09:28.28","+53:40:23.99	","	16:09:28.29","+53:40:23.52	","0.1696	","2012Natur.485..217G, 2015MNRAS.454.2321S, 2014ApJ...783...23G,2012Natur.485..217G"
PS1-11af,SDSS J095726.82+031400.9,"	09:57:26.82","+03:14:00.94	","	09:57:26.82","+03:14:01.00	","0.4046	",2014ApJ...780...44C
PTF-09axc,SDSS J145313.07+221432.2,"	14:53:13.08","+22:14:32.27	","	14:53:13.06","+22:14:32.20	","0.1146	","2014ApJ...793...38A, "
PTF-09djl,SDSS J163355.97+301416.6,"	16:33:55.97","+30:14:16.65	","	16:33:55.94","+30:14:16.30	","0.184	",2014ApJ...793...38A
